作品id,Create Date,Done Time,Start Time,Update Date,不感兴趣,作品时长,作品时长秒,作品标题,作品网址,分享量,分类,发布时间,完成,序号,开始学习,播放量,收藏量,点赞量,状态,评论量
"今日简史：人类命运大议题 (Yuval Noah Harari, 林俊宏) (Z-Library)_merged",2025年11月7日 14:43,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
剧变：人类社会与国家危机的转折点(一部恰逢其时的巨制。普利策奖得主《枪炮、病钢铁》作者新书，探讨危机_merged,2025年11月7日 14:43,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
卡片笔记写作法：如何实现从阅读到写作 ([德]申克·阿伦斯 (Sönke Ahrens)) (Z-L_merged,2025年11月7日 14:44,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
刻意练习：如何从新手到大师 (安德斯·艾利克森（Anders Ericsson） 罗伯特·普尔（Ro_merged,2025年11月7日 14:44,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
刻意练习：如何从新手到大师_merged,2025年11月7日 14:45,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
了不起的我：自我发展的心理学_merged,2025年11月7日 14:45,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
刘嘉概率论通识讲义 (刘嘉) (Z-Library)_merged,2025年11月7日 14:46,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
你的灯亮着吗？ ([美] 唐纳德·高斯 (Donald C. Gause) etc.) (Z-Lib_merged,2025年11月7日 14:46,,,2025年11月19日 19:04,,,,,,,,,,,,,,,TODO,
你经历了什么？（脱口秀女王奥普拉儿童精神科医生、神经科学家布鲁斯·D.佩里医生的十次深度对话+真实病_merged,2025年11月7日 14:46,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
你其实不懂消费心理学_merged,2025年11月7日 14:47,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
你一定爱读的极简欧洲史_merged,2025年11月7日 14:47,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
奇特的一生(珍藏版)(附導讀手冊精選李笑來、秋葉、戰隼等時間管理大V的文章，分享他們使用「時間統計法_merged,2025年11月7日 14:47,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
千古文人侠客梦_merged,2025年11月7日 14:48,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
千年悖论人性的历史实验记录 (张宏杰) (Z-Library)_merged,2025年11月7日 14:48,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
亲密关系 (克里斯多福·孟) (Z-Library)_merged,2025年11月7日 14:48,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
人类简史-从动物到上帝_merged,2025年11月7日 14:49,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
人生的智慧 (叔本華系列) (叔本華 [叔本华]) (Z-Library)_merged,2025年11月7日 14:49,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
人心的本质（一套理解复杂人性和行为的极简思维工具，彻底改变你看待世界和自己的方式，“谷歌效应”提出者_merged,2025年11月7日 14:49,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
如何成为优秀的大脑饲养员：让我们精力更足、记性更好、情绪更佳的健脑饮食全书 (丽莎·莫斯考尼 (Li_merged,2025年11月7日 14:50,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
"如何阅读一本书 ([美]莫提默·J·艾德勒,查尔斯·范多伦) (Z-Library)_merged",2025年11月7日 14:50,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
三国史话：史学泰斗吕思勉展现真实的三国人物 (吕思勉) (Z-Library)_merged,2025年11月7日 14:51,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
商业的本质+%5B美%5D+杰克·韦尔奇_merged,2025年11月7日 14:51,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
史蒂夫 · 乔布斯传 = Steve Jobs A Biography ([美] 沃尔特 · 艾萨克_merged,2025年11月7日 14:52,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
万古江河：中国历史文化的转折与开展 (许倬云) (Z-Library)_merged,2025年11月7日 14:52,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
万历十五年（经典版）_merged,2025年11月7日 14:53,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
万万没想到：用理工科思维理解世界：精装增补版 (万维钢) (Z-Library)_merged,2025年11月7日 14:53,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
伟大的博弈(kindle正版)_merged,2025年11月7日 14:54,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
为什么中国人勤劳而不富有（全文插图版）_merged,2025年11月7日 14:54,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
乌合之众大众心理研究 (社会学经典名著) (古斯塔夫·勒庞[古斯塔夫·勒庞]) (Z-Library_merged,2025年11月7日 14:54,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
务虚笔记 - 史铁生_merged,2025年11月7日 14:54,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
习惯的力量（精编图文版） ( etc.) (Z-Library)_merged,2025年11月7日 14:55,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
乡土中国、江村经济套装_merged,2025年11月7日 14:55,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
乡下人的悲歌_merged,2025年11月7日 14:55,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
"学会提问 (原书第10版） (尼尔•布朗, 吴礼敬) (Z-Library)_merged",2025年11月7日 14:56,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
