作品id,Create Date,Done Time,Start Time,Update Date,不感兴趣,作品时长,作品时长秒,作品标题,作品网址,分享量,分类,发布时间,完成,序号,开始学习,播放量,收藏量,点赞量,状态,评论量
"学习之道 (芭芭拉·奥克利, Barbara Oakley) (Z-Library)_merged",2025年11月7日 14:56,,2025年11月14日 18:18 (GMT+8),2025年11月14日 22:48,,,,,,,,,,,,,,,DOING,
学习之道 美国公认学习第一书-乔希维茨金_merged,2025年11月7日 14:57,,2025年11月14日 18:10 (GMT+8),2025年11月14日 18:18,,,,,,,,,,,,,,,DOING,
厌女：日本的女性嫌恶 = 女ぎらい：ニッポンのミソジニー (上野千鹤子 著 王兰 译) (Z-Lib_merged,2025年11月7日 14:57,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
一本书读懂财报 (肖星) (Z-Library)_merged,2025年11月7日 14:57,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
一本正经又怪诞的行为心理学_merged,2025年11月7日 14:58,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
一万小时天才理论+【丹尼尔•科伊尔】【心理学】【请加微信：jiajiao468】_merged,2025年11月7日 14:58,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
娱乐至死_merged,2025年11月7日 14:58,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
原则_merged,2025年11月7日 14:58,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
在深渊里仰望星空：魏晋名士的卑微与骄傲 (北溟鱼) (Z-Library)_merged,2025年11月7日 14:59,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
债务危机（《原则》作者、桥水创始人瑞·达利欧新作！破解金融危机规律，创建债务大周末模型，桥水44年危_merged,2025年11月7日 14:59,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
只有偏执狂才能生存特种经理人的培训手册(新版) (安迪•格鲁夫 [安迪•格鲁夫]) (Z-Libra_merged,2025年11月7日 15:00,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
中国改革三部曲（吴敬琏完整讲述中国改革故事。写作跨越20年，论述跨越60年。一部当代中国经济改革史）_merged,2025年11月7日 15:00,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
中国国民性演变史 (张宏杰) (Z-Library)_merged,2025年11月7日 15:01,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
中国人的性格历程 (张宏杰) (Z-Library)_merged,2025年11月7日 15:01,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
周期：投资机会、风险、态度与市场周期 = Mastering the Market Cycle Ge_merged,2025年11月7日 15:01,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
助推：如何做出有关健康、财富与幸福的最佳决策（2017年诺贝尔经济学奖获得者理查德·泰勒作品）_merged,2025年11月7日 15:02,,,2025年11月19日 19:10,,,,,,,,,,,,,,,TODO,
卓越密码：如何成为专家_merged,2025年11月7日 15:02,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
坐天下：张宏杰解读中国帝王 (张宏杰) (Z-Library)_merged,2025年11月7日 15:02,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
https_merged,2025年11月11日 07:07,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
博弈论(一切博弈论的源起之作)_merged,2025年11月11日 07:08,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
原生家庭_merged,2025年11月11日 07:08,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
商业的本质+%5B美%5D+杰克·韦尔奇_merged,2025年11月11日 07:09,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
富爸爸穷爸爸 (全球最佳财商教育系列) (〔美〕罗伯特·清崎；〔美〕莎伦·莱希特) (Z-Libra_merged,2025年11月11日 07:09,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
"对赌信息不足时如何做出高明决策 (Annie Duke, 李光辉) (Z-Library)_merged",2025年11月11日 07:09,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
帝国的惆怅 (易中天) (Z-Library)_merged,2025年11月11日 07:11,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
帝国的终结 (易中天) (Z-Library)_merged,2025年11月11日 07:11,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
"幸福之路(90年长销经典,诺奖得主罗素风靡东西方的幸福指南。非诚勿扰学者嘉宾黄菡新译,导读推荐)(果_merged",2025年11月11日 07:12,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
幸福之路_merged,2025年11月11日 07:13,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
幸福的方法_merged,2025年11月11日 07:14,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
底层逻辑：看清这个世界的底牌 (刘润) (Z-Library)_merged,2025年11月11日 07:15,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
引爆点新版_merged,2025年11月11日 07:16,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
弗兰克尔自传：活出生命的意义_merged,2025年11月11日 07:17,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
影响力 (经典版) = Influence The Psychology of Persuasion_merged,2025年11月11日 07:17,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
微时间管理术_merged,2025年11月11日 07:17,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
态度改变与社会影响-菲利普·津巴多 & 迈克尔·利佩_merged,2025年11月11日 07:18,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
"思维导图完整手册：零基础快速掌握思维导图 (东尼·博赞, Tony Buzan) (Z-Librar_merged",2025年11月11日 07:20,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
"思考,快与慢 (丹尼尔 · 卡尼曼 (Daniel Kahneman)) (Z-Library)_merged",2025年11月11日 07:21,,,2025年11月15日 06:32,,,,,,,,,,,,,,,TODO,
思考致富 (心理学名著)拿破仑·希尔_merged,2025年11月11日 07:22,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
怦然心动的人生整理魔法_merged,2025年11月11日 07:23,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
情商：为什么情商比智商更重要 (丹尼尔 · 戈尔曼 (Daniel Goleman)) (Z-Lib_merged,2025年11月11日 07:24,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
情绪 (莉莎·费德曼·巴瑞特) (Z-Library)_merged,2025年11月11日 07:24,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
意志力_merged,2025年11月11日 07:24,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
成功动机与目标_merged,2025年11月11日 07:26,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
我与地坛 (史铁生) (Z-Library)_merged,2025年11月11日 07:26,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
我们为什么会受骗（把FBI耍得团团转的骗术天才都叫好的心理学科普书。让你读来叹为观止，抽丝剥茧揭示骗_merged,2025年11月11日 07:26,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
我们为什么要睡觉（让比尔•盖茨决定放下工作，好好睡觉！《纽约时报》畅销书排行榜NO.1，全球公认殿堂_merged,2025年11月11日 07:27,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
我们内心的冲突 (卡伦·霍妮) (Z-Library)_merged,2025年11月11日 07:27,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
我们内心的冲突 (心理学大师经典译丛)_merged,2025年11月11日 07:27,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
"战斗细胞：人体免疫系统奇妙之旅 (Philipp Dettmer 著, 李超群 译) (Z-Libr_merged",2025年11月11日 07:28,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
手机大脑：让人睡眠好、心情好、脑力好的戒手机指南 (安德斯．汉森 (Anders Hansen))_merged,2025年11月11日 07:29,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
拆掉思维里的墙 - 古典_merged,2025年11月11日 07:30,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
掌控习惯 (【美】詹姆斯·克利尔（James Clear）) (Z-Library)_merged,2025年11月11日 07:32,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
掌控习惯_merged,2025年11月11日 07:35,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
斯坦福大学人生设计课,2025年11月11日 07:37,2025年11月14日 17:50 (GMT+8),2025年11月13日 21:10 (GMT+8),2025年11月14日 17:50,,,,,,,,,,,,,,,DONE,
时间简史（懂与不懂都是收获，畅销27年，电子版首度面世！）+%28第一推动丛书%29+-+史蒂芬•霍_merged,2025年11月11日 07:37,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
时间贫困 (【英】凯茜·霍姆斯) (Z-Library)_merged,2025年11月11日 07:37,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
显微镜下的大明 (马伯庸) (Z-Library)_merged,2025年11月11日 07:38,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
"最好的晚年 从现在开始, 为精彩活过100岁做准备 = Successful Aging A Neu_merged",2025年11月11日 07:38,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
"有些事现在不做，一辈子都不会做了（5册合集）-有些事现在不做,一辈子都不会做了(1-5)(套装共5册_merged",2025年11月11日 07:45,,,2025年11月11日 07:59,,,,,,,,,,,,,,,TODO,
沉默的大多数_merged,2025年11月11日 07:55,,,2025年11月11日 08:04,,,,,,,,,,,,,,,TODO,
活出最乐观的自己_merged,2025年11月11日 07:57,,,2025年11月11日 08:05,,,,,,,,,,,,,,,TODO,
活出生命的意义（更多精品免费课程加微信：bfht888)..._merged,2025年11月11日 07:57,,,2025年11月11日 08:05,,,,,,,,,,,,,,,TODO,
深度工作：21世纪的核心竞争力,2025年11月11日 07:57,2025年11月13日 20:15 (GMT+8),2025年11月12日 17:34 (GMT+8),2025年11月13日 20:15,,,,,,,,,,,,,,,DONE,
清单革命（经典版） (阿图·葛文德 (Atul Gawande)) (Z-Library)_merged,2025年11月11日 07:58,,,2025年11月11日 08:05,,,,,,,,,,,,,,,TODO,
潜意识：控制你行为的秘密 (列纳德·蒙洛迪诺 (Leonard Mlodinow)) (Z-Libr_merged,2025年11月11日 07:58,,,2025年11月11日 08:05,,,,,,,,,,,,,,,TODO,
潜规则 (吴思) (Z-Library)_merged,2025年11月11日 07:58,,,2025年11月11日 08:05,,,,,,,,,,,,,,,TODO,
灰犀牛_merged,2025年11月11日 07:59,,,2025年11月11日 08:05,,,,,,,,,,,,,,,TODO,
爱的五种语言-盖瑞·查普曼_merged,2025年11月11日 08:00,,,2025年11月11日 08:05,,,,,,,,,,,,,,,TODO,
爱的博弈【美国亚马逊热销13年】 (西雅图爱情实验室的心理学报告)_merged,2025年11月11日 08:00,,,2025年11月11日 08:05,,,,,,,,,,,,,,,TODO,
爱的艺术 (〔美〕弗洛姆) (Z-Library)_merged,2025年11月11日 08:01,,,2025年11月11日 08:05,,,,,,,,,,,,,,,TODO,
王二的经济学故事 (郭凯 [郭凯]) (Z-Library)_merged,2025年11月11日 08:02,,,2025年11月11日 08:05,,,,,,,,,,,,,,,TODO,
生命不能承受之轻_merged,2025年11月11日 08:03,,,2025年11月11日 08:05,,,,,,,,,,,,,,,TODO,
生活中的经济学_merged,2025年11月11日 08:05,,,2025年11月11日 08:17,,,,,,,,,,,,,,,TODO,
番茄工作法图解 ([瑞典] 诺特伯格 [[瑞典] 诺特伯格]) (Z-Library)_merged,2025年11月11日 08:06,,,2025年11月11日 08:17,,,,,,,,,,,,,,,TODO,
病隙碎笔 (史铁生) (Z-Library)_merged,2025年11月11日 08:07,,,2025年11月11日 08:17,,,,,,,,,,,,,,,TODO,
白板 (史蒂芬•平克“语言与人性”四部曲，全美超级畅销书)_merged,2025年11月11日 08:07,,,2025年11月11日 08:17,,,,,,,,,,,,,,,TODO,
百万富翁快车道_merged,2025年11月11日 08:08,,,2025年11月11日 08:18,,,,,,,,,,,,,,,TODO,
瞬变如何让你的世界变好一些 (奇普.希思 丹.希思 [奇普.希思 丹.希思]) (Z-Library_merged,2025年11月11日 08:08,,,2025年11月11日 08:18,,,,,,,,,,,,,,,TODO,
知识分子与社会 - 托马斯•索维尔 & ePUBw.COM_merged,2025年11月11日 08:08,,,2025年11月11日 08:18,,,,,,,,,,,,,,,TODO,
社会心理学（第8版）_merged,2025年11月11日 08:08,,,2025年11月11日 08:18,,,,,,,,,,,,,,,TODO,
"社会性动物 (Elliot Aronson [Aronson, Elliot]) (Z-Librar_merged",2025年11月11日 08:09,,,2025年11月11日 08:18,,,,,,,,,,,,,,,TODO,
稀缺 (穆来纳森) (Z-Library)_merged,2025年11月11日 08:09,,,2025年11月11日 08:18,,,,,,,,,,,,,,,TODO,
税的真相_merged,2025年11月11日 08:10,,,2025年11月11日 08:18,,,,,,,,,,,,,,,TODO,
稿定设计 - []分享了1个文件_merged,2025年11月11日 08:10,,,2025年11月11日 08:18,,,,,,,,,,,,,,,TODO,
被讨厌的勇气：“自我启发之父”阿德勒的哲学课_merged,2025年11月11日 18:16,,,2025年11月11日 18:29,,,,,,,,,,,,,,,TODO,
财富方程式 拥抱富足、自洽与幸福的人生 = The Algebra of Wealth A Simp_merged,2025年11月11日 18:17,,,2025年11月11日 18:29,,,,,,,,,,,,,,,TODO,
费孝通经典作品四部（中国社会学家、人类学家，赫胥黎奖、联合国大英百科全书奖获得者费孝通的经典作品合集_merged,2025年11月11日 18:18,,,2025年11月11日 18:29,,,,,,,,,,,,,,,TODO,
贫穷的本质：我们为什么摆脱不了贫穷（修订版）_merged,2025年11月11日 18:19,,,2025年11月11日 18:29,,,,,,,,,,,,,,,TODO,
自卑与超越（完整全译本） (阿尔弗雷德·阿德勒) (Z-Library)_merged,2025年11月11日 18:36,,,2025年11月11日 18:50,,,,,,,,,,,,,,,TODO,
自控力- [美]凯利·麦格尼格尔_merged,2025年11月11日 18:36,,,2025年11月11日 18:50,,,,,,,,,,,,,,,TODO,
自私的基因：40周年增订版 = The Extended Selfish Gene (理查德 · 道_merged,2025年11月11日 18:37,,,2025年11月11日 18:50,,,,,,,,,,,,,,,TODO,
自我导向行为_merged,2025年11月11日 18:37,,,2025年11月11日 18:50,,,,,,,,,,,,,,,TODO,
穷查理宝典：查理·芒格智慧箴言_merged,2025年11月11日 18:59,,,2025年11月11日 19:04,,,,,,,,,,,,,,,TODO,
许倬云观世变 (许倬云) (Z-Library)_merged,2025年11月11日 19:00,,,2025年11月11日 19:04,,,,,,,,,,,,,,,TODO,
薛兆丰经济学讲义-大小思维公众号回复“大国宪制”_merged,2025年11月11日 19:00,,,2025年11月11日 19:04,,,,,,,,,,,,,,,TODO,
"赢 (Jack Welch, Suzy Welch, 余江, 玉书) (Z-Library)_merged",2025年11月11日 19:01,,,2025年11月11日 19:04,,,,,,,,,,,,,,,TODO,
置身事内：中国政府与经济发展 (兰小欢) (Z-Library)_merged,2025年11月11日 19:02,,,2025年11月11日 19:04,,,,,,,,,,,,,,,TODO,
被偷走的人生（豆瓣评分高达 9.0 的高品质的社会派推理故事，涉及高考冒名顶替、拆迁、官员贪腐等热门_merged,2025年11月11日 19:05,,,2025年11月11日 19:06,,,,,,,,,,,,,,,TODO,
血酬定律：中国历史中的生存游戏(官场商场职场必读之书) (吴思) (Z-Library)_merged,2025年11月11日 19:06,,,2025年11月11日 19:06,,,,,,,,,,,,,,,TODO,
肖星的财务思维课 (肖星) (Z-Library)_merged,2025年11月11日 19:08,,,2025年11月11日 19:20,,,,,,,,,,,,,,,TODO,
置身事内：中国政府与经济发展 (兰小欢) (Z-Library),2025年11月14日 08:39,,,2025年11月14日 10:22,,,,,,,,,,,,,,,TODO,
